12 Angry Men--;,Sidney Lumet--;,1957--;,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.--;,Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall--;,http://ia.media-imdb.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SX300.jpg--;
12 Years a Slave--;,Steve McQueen--;,2013--;,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.--;,Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt--;,http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg--;
2 Fast 2 Furious--;,John Singleton--;,2003--;,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.--;,Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser--;,http://ia.media-imdb.com/images/M/MV5BMTIyMDUwMDc4OF5BMl5BanBnXkFtZTYwNTY2Nzk5._V1_SX300.jpg--;
2001: A Space Odyssey--;,Stanley Kubrick--;,1968--;,"Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.--;,Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter--;,http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1_SX300.jpg--;
25th Hour--;,Spike Lee--;,2002--;,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.--;,"Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson--;,http://ia.media-imdb.com/images/M/MV5BMTUxNDEyNjE4OF5BMl5BanBnXkFtZTYwNTMyNjU3._V1_SX300.jpg--;
3 Idiots--;,Rajkumar Hirani--;,2009--;,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them 'idiots'.--;,"Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor--;,http://ia.media-imdb.com/images/M/MV5BMTMyOTg0ODQ1OF5BMl5BanBnXkFtZTcwNjc0NTMwNQ@@._V1_SX300.jpg--;
8½--;,Federico Fellini--;,1963--;,A harried movie director retreats into his memories and fantasies.--;,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo--;,http://ia.media-imdb.com/images/M/MV5BMTQ4MTA0NjEzMF5BMl5BanBnXkFtZTgwMDg4NDYxMzE@._V1_SX300.jpg--;
A Beautiful Mind--;,Ron Howard--;,2001--;,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.--;,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer--;,http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_SX300.jpg--;
A Clockwork Orange--;,Stanley Kubrick--;,1971--;,"In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.--;,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke--;,http://ia.media-imdb.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg--;
A Fistful of Dollars--;,Sergio Leone--;,1964--;,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.--;,"Clint Eastwood, Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy--;,http://ia.media-imdb.com/images/M/MV5BMTAzODAxMzg1MzZeQTJeQWpwZ15BbWU3MDgwMzE5ODk@._V1_SX300.jpg--;
A Separation--;,Asghar Farhadi--;,2011--;,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.--;,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini--;,http://ia.media-imdb.com/images/M/MV5BMTYzMzU4NDUwOF5BMl5BanBnXkFtZTcwMTM5MjA5Ng@@._V1_SX300.jpg--;
A View to a Kill--;,John Glen--;,1985--;,An investigation of a horse-racing scam leads 007 to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.--;,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones--;,http://ia.media-imdb.com/images/M/MV5BMTMwMTYzOTIwM15BMl5BanBnXkFtZTcwODY5MDg0NA@@._V1_SX300.jpg--;
Akira--;,Katsuhiro Ôtomo--;,1988--;,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two kids and a group of psychics can stop.--;,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda--;,http://ia.media-imdb.com/images/M/MV5BNTk0MjE2NDc1Nl5BMl5BanBnXkFtZTgwODM3NTU3MzE@._V1_SX300.jpg--;
Alien--;,Ridley Scott--;,1979--;,"After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source planet finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered and the critter deceased, they soon realize that its life cycle has merely begun.--;,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton--;,http://ia.media-imdb.com/images/M/MV5BMTU1ODQ4NjQyOV5BMl5BanBnXkFtZTgwOTQ3NDU2MTE@._V1_SX300.jpg--;
Aliens--;,James Cameron--;,1986--;,"The planet from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?--;,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser--;,http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SX300.jpg--;
All About Eve--;,Joseph L. Mankiewicz--;,1950--;,An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.--;,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm--;,http://ia.media-imdb.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg--;
Amadeus--;,Milos Forman--;,1984--;,"The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.--;,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice--;,http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX300.jpg--;
